data,callsign,departure,arrivee,registration,Parking
20170806,OKA2867,ZBTJ,VTSP,B5571,223
20170806,CCA1260,ZUGY,ZBTJ,B5572,203
20170806,CCA1389,ZBTJ,ZJSY,B5572,107
20170805,OKA2932,ZGHA,ZBTJ,B5573,222
20170806,OKA2823,ZBTJ,ZLXY,B5573,224
20170806,OKA2824,ZLXY,ZBTJ,B5573,222
20170805,OKA2820,ZGHA,ZBTJ,B5575,223
20170805,OKA2806,ZSHC,ZBTJ,B5578,224
20170806,OKA2819,ZBTJ,ZGKL,B5578,226
20170806,OKA2820,ZGKL,ZBTJ,B5578,222
20170806,OKA2751,ZBTJ,ZSHC,B5578,222
20170805,CCA1468,ZPPP,ZBTJ,B5585,109
20170806,CCA151,ZBTJ,ZYTL,B5585,107
20170806,CCA152,ZYTL,ZBTJ,B5585,109
20170806,CCA8289,ZBTJ,ZBHH,B5585,108
20170806,CSN6329,ZGSD,ZBTJ,B5586,217
20170806,CSN6330,ZBTJ,ZGSD,B5598,217
20170806,CSZ9121,ZGSZ,ZBTJ,B5615,118
20170806,CXA856,ZSAM,ZBTJ,B5635,228
20170806,CCD8923,ZYTL,ZBTJ,B5639,110
20170806,CCD8923,ZBTJ,ZLIC,B5639,110
20170806,CXA8033,ZSFZ,ZBTJ,B5657,226
20170806,CXA8033,ZBTJ,ZYCC,B5657,226
20170806,CXA8034,ZYCC,ZBTJ,B5657,226
20170806,CXA8034,ZBTJ,ZSFZ,B5657,226
20170806,CCA811,ZBTJ,VTBS,B5680,108
20170806,CCA951,ZBTJ,ZYTL,B5680,107
20170806,CCA812,VTBS,ZBTJ,B5680,201
20170806,CCA952,ZYTL,ZBTJ,B5680,202
20170806,CCA815,ZBTJ,ROAH,B5681,108
20170805,CCA1320,ZGSZ,ZBTJ,B5681,109
20170806,CCA816,ROAH,ZBTJ,B5681,201
20170806,CCA1655,ZBTJ,ZSPD,B5681,107
20170805,CES9737,ZPPP,ZBTJ,B5683,215
20170806,CES9738,ZBTJ,ZPPP,B5683,218
20170806,CSH9264,ZSSS,ZBTJ,B5730,219
20170806,CSH9134,ZBTJ,ZSSS,B5730,218
20170806,CSN3133,ZGGG,ZBTJ,B5745,218
20170806,CSN3134,ZBTJ,ZGGG,B5747,220
20170806,CXA8681,ZBTJ,ZSAM,B5750,227
20170806,CXA8321,ZBTJ,ZSHC,B5788,225
20170805,CCA1524,ZSSS,ZBTJ,B5793,109
20170806,CCA1417,ZBTJ,ZUGY,B5793,109
20170806,CCA1418,ZUGY,ZBTJ,B5793,109
20170806,CCA1259,ZBTJ,ZUGY,B5793,203
20170806,RLH6515,ZHXF,ZBTJ,B5829,112
20170806,RLH6516,ZBTJ,ZHXF,B5829,110
20170806,RLH5313,ZHES,ZBTJ,B5830,110
20170806,RLH5314,ZBTJ,ZHES,B5830,110
20170806,CSH9115,ZSSS,ZBTJ,B5831,219
20170806,CSH9116,ZBTJ,ZSSS,B5831,218
20170805,OKA3036,ZSNT,ZBTJ,B5841,224
20170806,OKA2833,ZBTJ,ZSCN,B5841,224
20170806,OKA2834,ZSCN,ZBTJ,B5841,222
20170805,OKA2758,ZGDY,ZBTJ,B5842,222
20170806,OKA2897,ZBTJ,ZPPP,B5842,224
20170806,OKA2898,ZPPP,ZBTJ,B5842,224
20170806,OKA3040,VVDN,ZBTJ,B5843,222
20170806,OKA2987,ZBTJ,ZYBS,B5843,224
20170806,OKA2988,ZYBS,ZBTJ,B5843,223
20170806,OKA2727,ZBTJ,ZLXN,B5843,223
20170806,OKA2728,ZLXN,ZBTJ,B5843,222
20170806,CCD8924,ZLIC,ZBTJ,B5850,114
20170806,CCD8924,ZBTJ,ZYTL,B5850,114
20170806,CHH7167,ZYTL,ZBTJ,B6060,213
20170806,CHH7303,ZGSZ,ZBTJ,B6063,211
20170806,CBJ5729,ZPLJ,ZBTJ,B6179,206
20170806,CBJ5730,ZBTJ,ZPLJ,B6179,211
20170806,CCA1771,ZSHC,ZBTJ,B6236,202
20170806,CCA1772,ZBTJ,ZSHC,B6236,108
20170806,CSN312T,ZYHB,ZBTJ,B6281,221
20170806,CSN312T,ZBTJ,ZGHA,B6281,221
20170806,CQH8814,ZBTJ,ZSPD,B6309,112
20170806,CSZ9798,ZBTJ,ZSQZ,B6313,108
20170806,CSC8815,ZSHC,ZBTJ,B6347,112
20170806,CSC8816,ZBTJ,ZYCC,B6347,113
20170806,CSC8817,ZYCC,ZBTJ,B6347,111
20170806,CSC8818,ZBTJ,ZSHC,B6347,113
20170806,CCA4188,ZBTJ,ZUUU,B6365,109
20170806,TBA9907,ZUCK,ZBTJ,B6440,113
20170806,TBA9908,ZBTJ,ZUCK,B6440,113
20170806,TBA9937,ZLXH,ZBTJ,B6451,112
20170806,TBA9938,ZBTJ,ZLXH,B6451,111
20170806,CXA8365,ZBTJ,ZGSZ,B6488,227
20170805,CCA8284,ZBYC,ZBTJ,B6499,109
20170806,CCA1529,ZBTJ,ZSAM,B6499,108
20170806,CCA1530,ZSAM,ZBTJ,B6499,117
20170806,CCA1401,ZBTJ,ZPPP,B6499,109
20170806,CCA1402,ZPPP,ZBTJ,B6499,108
20170806,CES2083,ZSPD,ZBTJ,B6560,216
20170806,CES2083,ZBTJ,ZBCF,B6560,216
20170806,CES2084,ZBCF,ZBTJ,B6560,216
20170806,CES2084,ZBTJ,ZSPD,B6560,216
20170806,CES5189,ZSSS,ZBTJ,B6643,215
20170806,CES5190,ZBTJ,ZSSS,B6643,215
20170806,CSN6569,ZYCC,ZBTJ,B6655,220
20170806,CSN6569,ZBTJ,ZLXY,B6655,220
20170806,CCA4187,ZUUU,ZBTJ,B6701,117
20170806,CSC8568,ZLLL,ZBTJ,B6718,111
20170806,CSC8568,ZBTJ,ZYHB,B6718,111
20170806,GCR7839,ZBTJ,ZWWW,B6727,208
20170806,CSC8349,ZBTJ,ZGNN,B6732,111
20170806,CSC8350,ZGNN,ZBTJ,B6732,112
20170806,GCR7583,ZLXY,ZBTJ,B6789,210
20170806,GCR7583,ZBTJ,ZYHB,B6789,210
20170806,CSN3125,ZGHA,ZBTJ,B6816,217
20170806,CSN3125,ZBTJ,ZYHB,B6816,217
20170806,CSN3126,ZYHB,ZBTJ,B6816,218
20170806,CSN3126,ZBTJ,ZGHA,B6816,218
20170805,CSN3301,ZHCC,ZBTJ,B6826,218
20170806,GCR6579,ZGHA,ZBTJ,B6837,206
20170806,GCR6580,ZBTJ,ZGHA,B6837,206
20170806,CQH8813,ZSPD,ZBTJ,B6851,112
20170805,GCR7878,ZLXN,ZBTJ,B6865,213
20170806,GCR7857,ZBTJ,ZLXY,B6865,211
20170806,GCR7858,ZLXY,ZBTJ,B6865,216
20170806,GCR7917,ZBTJ,ZBLA,B6865,211
20170806,GCR7993,ZBTJ,RKSI,B6903,207
20170806,GCR7994,RKSI,ZBTJ,B6903,213
20170806,GCR7875,ZBTJ,ZLXY,B6903,209
20170806,CSN6570,ZLXY,ZBTJ,B6945,218
20170806,CSN6570,ZBTJ,ZYCC,B6945,218
20170806,CQH8509,ZSYN,ZBTJ,B6971,111
20170806,CQH8510,ZBTJ,ZSYN,B6971,111
20170806,CQH8914,RKPC,ZBTJ,B6972,112
20170806,CQH8989,ZBTJ,ZSYA,B6972,110
20170806,CQH8990,ZSYA,ZBTJ,B6972,110
20170806,CQH8913,ZBTJ,RKPC,B6972,110
20170806,OKA2883,ZLXY,ZBTJ,B6997,222
20170806,OKA283V,ZSCN,ZBTJ,B6997,223
20170806,OKA2884,ZBTJ,ZLXY,B6997,223
20170806,CDG4718,ZBHH,ZBTJ,B7087,202
20170806,CDG4719,ZBTJ,ZSQD,B7087,108
20170806,CXA8331,ZBTJ,ZSFZ,B7176,226
20170806,CCA8293,ZBTJ,ZWTL,B7182,108
20170806,CCA8294,ZWTL,ZBTJ,B7182,109
20170806,CXA8366,ZGSZ,ZBTJ,B7197,225
20170806,CXA8379,ZBTJ,ZGSZ,B7197,225
20170806,OKA2849,ZGHA,ZBTJ,B7373,222
20170806,OKA2849,ZBTJ,ZYHB,B7373,222
20170806,OKA2850,ZYHB,ZBTJ,B7373,223
20170806,OKA2850,ZBTJ,ZGHA,B7373,223
20170806,CHH7168,ZBTJ,ZYTL,B7379,210
20170805,CXA8332,ZSFZ,ZBTJ,B7560,225
20170806,CXA8459,ZBTJ,ZLXY,B7560,225
20170806,CXA8460,ZLXY,ZBTJ,B7560,225
20170806,CXA8469,ZBTJ,ZUCK,B7560,226
20170806,CSH9070,ZBTJ,ZSPD,B7632,218
20170806,HXA2901,ZBUC,ZBTJ,B7693,601
20170806,HXA2923,ZBTJ,ZYBA,B7693,601
20170806,HXA2924,ZYBA,ZBTJ,B7693,601
20170806,HXA2902,ZBTJ,ZBUC,B7693,601
20170806,CXA8271,ZBTJ,ZBLA,B7819,229
20170806,CXA8272,ZBLA,ZBTJ,B7819,225
20170806,CXA8603,ZBTJ,ZBHH,B7819,225
20170806,CXA8604,ZBHH,ZBTJ,B7819,225
20170806,CXA8126,ZBTJ,ZSAM,B7819,225
20170806,CXA8229,ZSHC,ZBTJ,B7847,225
20170806,CXA8229,ZBTJ,ZWWW,B7847,225
20170806,CXA8230,ZWWW,ZBTJ,B7847,225
20170806,CXA8230,ZBTJ,ZSHC,B7847,225
20170805,CCA1252,ZLXY,ZBTJ,B7890,109
20170806,CCA1317,ZBTJ,ZGGG,B7890,203
20170806,CCA1318,ZGGG,ZBTJ,B7890,117
20170806,CCA1673,ZBTJ,ZSHC,B7890,117
20170806,CCA1674,ZSHC,ZBTJ,B7890,108
20170805,CCA1670,ZGHA,ZBTJ,B7893,108
20170806,CCA1679,ZBTJ,ZUCK,B7893,109
20170806,CCA1680,ZUCK,ZBTJ,B7893,202
20170806,CCA1387,ZBTJ,ZGGG,B7893,202
20170806,CCA1388,ZGGG,ZBTJ,B7893,117
20170806,CDG4825,ZSQD,ZBTJ,B7975,107
20170806,CDG4825,ZBTJ,ZBHH,B7975,107
20170806,CDG4717,ZSQD,ZBTJ,B7979,107
20170806,CDG4717,ZBTJ,ZBHH,B7979,107
20170806,CQH8799,ZBTJ,RJBB,B8012,111
20170806,CQH8800,RJBB,ZBTJ,B8012,112
20170805,GCR7902,ZLXY,ZBTJ,B8075,212
20170806,GCR7825,ZBTJ,ZYTL,B8075,211
20170806,GCR7826,ZYTL,ZBTJ,B8075,213
20170806,GCR7865,ZBTJ,ZJHK,B8075,209
20170806,CBJ5739,ZPLJ,ZBTJ,B8171,210
20170806,CBJ5740,ZBTJ,ZPLJ,B8171,210
20170806,UEA2249,ZUUU,ZBTJ,B8186,110
20170806,UEA2249,ZBTJ,ZBLA,B8186,110
20170806,UEA2250,ZBLA,ZBTJ,B8186,110
20170806,UEA2250,ZBTJ,ZUUU,B8186,110
20170806,CBJ5195,ZJSY,ZBTJ,B8188,206
20170806,LLJ821,ZBAA,ZBTJ,B8211,897
20170806,CSC8358,ZJHK,ZBTJ,B8323,111
20170806,CSC8355,ZBTJ,ZGOW,B8323,110
20170806,CSC8356,ZGOW,ZBTJ,B8323,110
20170806,CCA1921,ZSWZ,ZBTJ,B8337,108
20170806,CCA1922,ZBTJ,ZSWZ,B8337,108
20170806,TBA9877,ZUUU,ZBTJ,B8419,110
20170806,TBA9877,ZBTJ,ZYCC,B8419,110
20170806,TBA9878,ZYCC,ZBTJ,B8419,110
20170806,TBA9878,ZBTJ,ZUUU,B8419,110
20170805,CSC8356,ZGOW,ZBTJ,B8470,110
20170806,CSC8353,ZBTJ,ZSCN,B8470,111
20170806,CSC8354,ZSCN,ZBTJ,B8470,112
20170806,CSC8862,ZBTJ,ZUUU,B8470,110
20170806,CBG8819,ZHYC,ZBTJ,B8511,111
20170806,CBG8820,ZBTJ,ZHYC,B8511,111
20170806,DKH1136,ZYBS,ZBTJ,B8539,113
20170806,DKH1136,ZBTJ,ZSPD,B8539,113
20170806,CSC8863,ZUCK,ZBTJ,B8605,112
20170806,CSC8863,ZBTJ,ZYCC,B8605,112
20170806,GCR7966,ZUCK,ZBTJ,B8659,212
20170806,LKE9647,ZSSH,ZBTJ,B8732,209
20170806,LKE9648,ZBTJ,ZSSH,B8732,209
20170806,GCR788R,ZUUU,ZBTJ,B8776,418
20170806,GCR7855,ZBTJ,ZPPP,B8776,212
20170806,GCR7856,ZPPP,ZBTJ,B8776,212
20170806,CBG8853,ZGCD,ZBTJ,B8850,110
20170806,CBG8854,ZBTJ,ZGCD,B8850,110
20170805,GCR7956,UUEE,ZBTJ,B8959,212
20170806,GCR7955,ZBTJ,UUEE,B8959,414
20170805,CSC8864,ZYCC,ZBTJ,B8961,110
20170806,CSZ9797,ZSQZ,ZBTJ,B9909,202
20170806,CSN6579,ZYTL,ZBTJ,B9916,220
20170806,CSN6579,ZBTJ,ZUCK,B9916,220
20170806,CSN6580,ZUCK,ZBTJ,B9916,218
20170806,CSN6580,ZBTJ,ZYTL,B9916,218
20170806,QDA9854,ZBLA,ZBTJ,B9956,111
20170806,QDA9854,ZBTJ,ZSQD,B9956,111
20170806,DKH1135,ZSPD,ZBTJ,B9957,110
20170806,DKH1135,ZBTJ,ZSPD,B9957,110
20170806,GCR6510,ZHHH,ZBTJ,B9983,213
20170806,GCR6509,ZBTJ,ZHHH,B9983,210
20170806,GCR7971,ZBTJ,RJCC,B9987,206
20170805,GCR7866,ZJHK,ZBTJ,B9987,211
20170806,GCR7881,ZBTJ,ZSPD,B9987,210
20170806,GCR7882,ZSPD,ZBTJ,B9987,213
20170806,GCR7972,RJCC,ZBTJ,B9987,213
20170806,CRK363,ZBTJ,VHHH,BLNE,101
20170805,CRK362,VHHH,ZBTJ,BLNE,105
20170806,CRK362,VHHH,ZBTJ,BLNI,
20170806,AMU237,ZBTJ,VMMC,BMAK,103
20170806,AMU238,VMMC,ZBTJ,BMAK,103
20170806,AMU237D,ZBTJ,VMMC,BMAN,101
20170806,AAR997,RKSI,ZBTJ,HL7507,103
20170806,AAR998,ZBTJ,RKSI,HL7507,102
20170806,KAL318,ZBTJ,RKSI,HL7605,101
20170806,KAL317,RKSI,ZBTJ,HL7605,105
20170806,KAL806,ZBTJ,RKSI,HL8208,101
20170806,KAL864,ZBTJ,RKSI,HL8247,101
20170806,KAL805,RKSI,ZBTJ,HL8247,105
20170806,KAL863,RKSI,ZBTJ,HL8247,104
20170806,AAR327,RKSI,ZBTJ,HL8279,103
20170806,AAR328,ZBTJ,RKSI,HL8279,101
20170806,VGO892,ZBTJ,VTSG,HSNGE,101
20170806,VGO891,VTSG,ZBTJ,HSNGE,103
20170806,NCT879,ZBTJ,VTBD,HSXBC,101
20170806,NCT880,VTBD,ZBTJ,HSXBC,105
20170806,JAL840,ZBTJ,RJGG,JA315J,102
20170806,JAL841,RJGG,ZBTJ,JA315J,104
20170806,ANA8413,RJAA,ZBTJ,JA8362,105
20170806,ANA8413,ZBTJ,ZYTL,JA8362,105
20170806,VJC5320,VVCR,ZBTJ,VNA642,103
20170806,VJC5321,ZBTJ,VVCR,VNA642,101
